448.558,0,1,0,6,8,0,11,4,0,1,0,14,0,15,6,0,2,0,0,11,2,14,6,0
443.581,0,1,3,6,7,1,3,0,2,0,12,0,16,3,1,10,0,0,3,1,6,5,8,13
432.711,1,1,5,2,2,1,0,3,1,16,0,13,5,0,3,2,0,2,11,6,0,5,9,13
431.9,1,2,4,3,2,0,5,1,15,0,6,4,0,4,0,0,9,1,11,2,2,13,3,13
419.28,1,2,2,5,0,3,0,11,0,7,3,3,0,0,0,9,12,1,0,3,12,18,1,8
420.012,1,1,2,0,4,0,13,0,6,3,0,0,0,0,12,3,7,0,0,9,12,13,15,0
408.632,1,1,0,2,0,9,0,9,4,0,2,0,0,4,0,4,3,5,8,9,12,13,15,0
390.758,1,0,1,0,8,0,8,4,0,3,0,0,0,2,6,4,0,11,4,22,10,14,0,3
381.606,0,1,0,5,0,5,1,0,3,0,0,6,0,4,2,4,6,7,19,22,9,2,5,0
387.918,1,0,5,0,3,0,0,0,0,0,6,5,6,0,0,5,6,22,18,12,2,7,0,3
384.357,0,1,0,3,3,0,0,0,0,5,7,0,1,0,8,3,25,7,19,7,5,4,0,3
383.658,1,0,3,1,0,0,0,0,4,1,0,4,4,12,21,3,0,22,6,7,0,5,0,7
388.012,1,2,2,0,0,0,0,0,4,1,0,4,4,24,10,20,0,4,6,2,6,2,9,0
374.62,1,0,0,0,0,0,2,3,0,0,4,6,2,24,10,20,3,0,0,5,2,13,0,6
373.022,0,0,1,0,0,0,2,3,0,0,4,11,20,24,1,1,8,0,3,1,12,0,7,3
385.122,0,0,0,0,0,2,1,1,1,8,15,21,8,4,8,2,0,1,1,11,0,11,6,0
391.749,0,0,0,1,1,2,0,0,11,0,1,18,23,6,2,0,2,0,13,1,11,4,0,5
406.682,0,0,1,0,0,0,2,9,0,17,2,18,8,5,0,3,0,11,0,9,1,6,9,0
404.677,0,0,0,1,0,0,2,13,18,8,2,2,8,0,2,2,15,0,9,7,2,7,0,3
418.647,0,0,0,0,0,1,3,17,12,0,1,7,0,5,0,21,0,9,6,1,9,0,4,5
421.826,0,0,0,0,0,8,8,17,6,1,4,0,0,5,10,0,15,3,4,6,0,0,9,5
431.078,0,0,0,0,6,12,9,6,6,3,0,0,0,13,0,13,7,0,3,2,0,13,7,1
441.659,0,0,0,4,10,8,5,6,6,0,0,0,10,0,15,6,2,0,1,1,6,3,12,6
448.622,0,0,1,6,8,0,6,4,1,0,0,19,0,15,7,0,2,0,0,7,14,3,8,0
445.966,1,0,2,4,10,5,4,0,2,0,10,0,15,3,5,1,0,0,8,11,0,1,8,11
437.139,1,0,5,4,7,1,0,3,0,11,0,13,8,2,3,0,0,3,8,11,0,0,8,13
429.901,1,1,5,0,4,0,0,3,16,0,9,3,4,0,3,0,2,10,9,1,1,13,3,13
422.486,1,2,3,2,0,0,0,12,0,10,4,0,3,0,0,4,3,10,5,2,10,8,15,7
409.425,1,2,4,0,0,0,10,0,10,3,0,0,0,0,4,4,10,4,0,9,17,4,15,4
392.168,1,2,0,2,0,8,0,9,4,0,0,1,0,6,3,8,0,0,16,5,22,4,10,0
385.894,1,0,1,0,5,0,11,4,0,0,0,0,2,4,6,0,3,7,8,22,10,14,3,0
374.543,0,1,0,5,0,5,4,0,0,0,0,2,4,6,2,2,6,11,19,22,2,7,3,0
376.056,1,0,4,0,3,0,0,0,0,0,7,3,1,4,2,6,6,17,23,12,5,4,0,3
382.494,0,2,0,2,3,0,0,0,0,0,4,3,4,2,5,11,20,22,4,3,9,0,5,2
379.202,1,0,3,1,0,0,0,0,5,1,7,0,0,24,11,0,21,3,5,6,0,5,0,8
375.811,0,2,2,0,0,0,0,1,0,5,1,3,11,2,20,24,2,5,4,6,2,0,9,2
375.448,1,1,0,0,0,0,7,0,0,0,1,11,6,1,20,24,3,0,2,5,0,13,0,6
362.556,1,0,0,0,0,2,1,0,2,0,4,4,23,21,11,1,3,0,3,1,13,0,8,3
378.598,0,1,0,0,0,0,3,1,0,1,4,21,13,21,4,2,1,0,1,11,0,11,6,0
377.993,0,0,0,0,0,1,2,1,1,8,15,21,8,8,2,0,2,0,11,2,11,5,0,3
399.866,0,0,0,2,1,0,0,1,1,17,15,12,8,5,0,3,0,11,1,9,8,4,3,0
403.643,0,1,0,0,0,0,7,2,15,17,0,5,10,0,2,2,12,0,9,7,0,7,5,0
412.607,0,0,0,0,0,5,1,13,18,5,2,4,0,7,0,14,0,7,6,1,3,7,0,8
432.117,0,0,0,0,1,0,12,17,1,9,1,0,4,0,15,0,13,4,3,8,0,0,9,4
431.743,0,0,0,0,4,12,11,2,7,1,0,5,0,18,0,9,6,0,3,2,0,5,6,10
437.581,0,0,0,4,10,0,12,7,6,0,0,0,12,0,13,6,3,0,1,1,4,10,12,0
448.663,0,0,0,6,8,0,2,14,0,1,0,14,0,15,5,0,2,0,0,8,14,9,0,3
445.381,1,0,5,4,7,0,7,0,2,0,10,0,15,9,1,3,0,0,1,4,8,3,8,13
435.497,0,2,4,0,0,6,0,0,4,16,0,13,8,2,7,0,0,3,0,8,1,5,15,7
441.508,1,2,4,3,6,0,2,1,11,0,9,3,2,0,2,0,5,10,9,1,1,7,9,13
412.512,1,2,3,0,0,0,0,12,0,12,4,3,0,0,0,4,3,8,2,7,10,13,15,2
409.494,1,1,5,0,0,0,10,0,10,3,0,0,0,0,5,4,10,0,3,9,10,13,15,2
394.653,1,1,0,0,0,9,0,9,4,0,2,0,0,1,6,10,0,1,14,5,16,18,0,4
379.493,1,0,3,0,8,0,5,3,0,0,0,0,5,2,7,0,3,11,4,17,22,7,0,3
382.596,0,1,0,5,0,5,3,0,0,0,0,8,3,6,0,0,6,7,23,9,18,2,5,0
398.265,0,0,4,0,3,3,0,0,0,0,5,2,6,0,2,6,25,3,19,3,13,4,0,3
392.955,1,2,0,2,1,0,0,0,0,0,5,6,1,2,5,24,11,18,4,7,5,2,5,0
377.371,1,0,3,1,0,0,0,0,5,1,7,0,0,11,2,24,20,3,4,7,3,2,0,7
379.349,0,2,1,0,2,0,0,0,0,5,4,0,4,11,2,24,20,0,7,1,6,3,9,0
